"Story","Title","Result","Date","Stability","Duration (s)"
"Login with good credentials story","Log in with valid credentials should prompt with user","SUCCESS","2023-05-20T19:53:03.3096011+03:00[Europe/Helsinki]","0.0","15.09"
"Login with invalid credentials story","Log in with invalid credentials should prompt with error","SUCCESS","2023-05-20T19:53:17.0794916+03:00[Europe/Helsinki]","0.0","11.5"
