"Story","Title","Result","Date","Stability","Duration (s)"
"Login with good credentials story","Log in with valid credentials should prompt with user","SUCCESS","2023-05-20T19:53:03.3096011+03:00[Europe/Helsinki]","0.0","15.09"
"Login with invalid credentials story","Log in with invalid credentials should prompt with error","SUCCESS","2023-05-20T19:53:17.0794916+03:00[Europe/Helsinki]","0.0","11.5"
"Search by keyword story","Searching by keyword banana should display the corresponding article","FAILURE","2023-05-20T00:33:49.5650904+03:00[Europe/Helsinki]","0.0","5.34"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2023-05-20T00:33:55.4173797+03:00[Europe/Helsinki]","0.0","0.18"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2023-05-20T00:33:55.6841036+03:00[Europe/Helsinki]","0.0","2.98"
"Search by keyword story DDT","Search wiki by keyword test DDT","FAILURE","2023-05-20T17:43:16.5560923+03:00[Europe/Helsinki]","0.0","21.9"
"Search by invalid keyword story","Searching by keyword should display the corresponding information ddt","SUCCESS","2023-05-20T19:53:27.0040516+03:00[Europe/Helsinki]","0.0","9.16"
"Search by keyword story","Searching by keyword should display the corresponding information ddt","SUCCESS","2023-05-20T19:53:41.1046996+03:00[Europe/Helsinki]","0.0","13.09"
